address_full,Latitude,Longitude
תל אביב וינשל 6,32.1179986,34.8244931
תל אביב אבן גבירול 161,32.0919612,34.7828125
סביון 1 השיקמה,32.0491075,34.8757415
תל אביב 10 סנפיר,32.0532766,34.8099994
תל אביב 100 קיבוץ גלויות,32.0481042,34.7761291
תל אביב 12 אורי,32.0814732,34.7854416
תל אביב 13 אופנהיימר,32.1201658,34.7997804
תל אביב 15 לאה,32.120013,34.8203885
רמת גן 16 האורנים,32.0463744,34.834423
תל אביב 188 הרצל,32.0458312,34.7678976
הרצליה 2 הדר,32.1675895,34.8492667
"רמת גן 2 הרוא""ה",32.068424,34.824785
קריית אונו 2 יצחק נבון,32.0626767,34.8442316
קרית אונו 2 שלמה המלך,32.0536212,34.858398
תל אביב 20 ויצמן,32.0830916,34.789273
תל אביב 42 יצחק שדה,32.0647953,34.7884307
קרית אונו 23 לוי אשכול,32.077748,34.856515
תל אביב 24 סעדיה גאון,32.0682109,34.7823305
תל אביב 30 מטודלה,32.111385,34.8265043
רמת השרון 33 סוקולוב,32.1418503,34.8366271
הרצליה 34 זהר טל,32.1708537,34.8028265
תל אביב אבן גבירול 71,32.0822869,34.7801509
תל אביב 4-6 גרפית,32.0852999,34.7817676
תל אביב 46 שד בן צבי,32.0465888,34.7661897
קרית אונו 57 הנשיא,32.0608652,34.8560023
תל אביב 7 ד.מ. מרכוס,32.8246426,34.9888904
הרצליה 74 הרב קוק,32.1631906,34.8302927
גני תקווה 78 הגליל,32.056953,34.8688528
תל אביב 78 לה גרדיה,32.0589293,34.8012074
תל אביב 8 בקר,32.0852999,34.7817676
פתח תקווה 8 היצירה,32.0943978,34.8499242
רמת גן 87 הרצל,32.087845,34.814528
תל אביב אבן גבירול 124,32.0867596,34.7825374
תל אביב אבן גבירול 124,32.0867596,34.7825374
תל אביב אבן גבירול 136,32.0883128,34.782656
תל אביב אבן גבירול 157,32.0913136,34.7825845
תל אביב אבן גבירול 166,32.0910906,34.7831132
תל אביב אבן גבירול 71,32.0822869,34.7801509
תל אביב אבן גבירול 73,32.0833525,34.7811534
תל אביב אבן גבירול 73,32.0833525,34.7811534
תל אביב אבן גבירול 91,32.0849352,34.7815376
תל אביב מקס ברוד 34,32.1269119,34.8299402
תל אביב בארט 6,32.1139611,34.7993305
תל אביב בארט 6,32.1139611,34.7993305
גבעת שמואל בן גוריון 11,32.0776514,34.8464974
גבעת שמואל בן גוריון 18,32.0772645,34.8467605
הרצליה בן גוריון 19,32.1636764,34.8428019
הרצליה בן גוריון 2,32.1669945,34.8424397
הרצליה בן גוריון 56,32.1579238,34.8419268
הרצליה בן גוריון 82,32.1545039,34.8421088
פתח תקווה דרך יצחק רבין דגניה ליד בית חרושת א,32.085991,34.860718
תל אביב דרך שלמה 1,32.0547645,34.7706342
"תל אביב האצ""ל 9",32.0534047,34.7913784
תל אביב הדרור 2,32.0509574,34.7538355
פתח תקווה הרב מסעוד אשר פינטו 20,32.084041,34.887762
הרצליה ויצמן 20,32.1649036,34.8356876
הרצליה ויצמן 20,32.1649036,34.8356876
תל אביב ויצמן 24,32.0839366,34.7893761
תל אביב ויצמן 6,32.0801258,34.7898816
תל אביב ויצמן 6 בית חולים איכילוב,32.0801258,34.7898816
גבעתיים ויצמן פינת יצחק רבין,32.06656,34.808523
תל אביב טאגור 38,32.1172216,34.7974665
תל אביב יגאל אלון 159,32.078708,34.7978385
תל אביב יגאל אלון 57,32.0633922,34.7919969
תל אביב יגאל אלון 76,32.0652457,34.7926327
תל אביב יגאל אלון 94,32.0689894,34.7940425
תל אביב יגאל אלון 94,32.0689894,34.7940425
תל אביב יהודה הלוי 114,32.0708973,34.7820237
תל אביב יהודה הלוי 40,32.0616314,34.7720178
תל אביב יהודה המכבי 69,32.0940317,34.7918134
תל אביב יהודה הנשיא 34,32.1192192,34.7965882
אלעד יהודה הנשיא פינת רבי שמעון,32.04953,34.95075
גבעת שמואל יוני נתניהו 21,32.0761704,34.8546023
בני ברק ירושלים 70,32.0830544,34.8262388
תל אביב ישעיהו 1,32.0950571,34.7786353
תל אביב ישעיהו 1,32.0950571,34.7786353
הוד השרון כביש 40 מול מושב אלישמע בכניסה המזר,32.1543908,34.9235247
בני ברק מבצע קדש 60,32.1002923,34.828527
בני ברק מבצע קדש 66,32.1018083,34.8298623
בני ברק תורת חיים 1,32.0752334,34.8382026
פתח תקווה מסעוד אשר 20,32.10003817,34.89518642
תל אביב משה דיין 2,32.047187,34.799156
תל אביב משה וילנסקי 15,32.1284381,34.8312511
תל אביב משה וילנסקי 15,32.1284381,34.8312511
תל אביב עזה 17,32.0473256,34.75968
תל אביב פנחס רוזן 65/67,32.1143404,34.8250777
תל אביב פנחס רוזן 72,32.114692,34.8260661
תל אביב פרנקל 15,32.057235,34.77082
"תל אביב צה""ל 71, מרכ",32.121703,34.8347837
רמת השרון צומת גלילות,32.138866,34.817585
"פתח תקווה קק""ל 2",32.0795569,34.8847424
"פתח תקווה קק""ל 35",32.0804406,34.8871711
בני ברק רבי עקיבא 34,32.0886955,34.8266156
בני ברק רבי עקיבא 94,32.0859644,34.8315077
גבעת שמואל רח' יוני נתניהו 27,32.0777258,34.854764
"פתח תקווה רח' ראשל""צ 1",32.084041,34.887762
תל אביב שוקן 1,32.0547148,34.7722382
קרית אונו שלמה המלך 40,32.0548391,34.8638919
תל אביב תוספתא 15,32.0974546,34.7986062